ra,dec,mjd,mag_auto,filter,exposure
190.67170726404208,-26.71244988255419,57096.31785494462,20.330343,r,c4d_150315_073903_ooi_r_ls9
190.67260648111247,-26.721434115172038,57096.3185364618,21.017412,r,c4d_150315_074034_ooi_r_ls9
190.67171128879997,-26.712457823666217,57096.3185364618,20.33486,r,c4d_150315_074034_ooi_r_ls9
190.659344573271,-26.709830717549394,57096.3185364618,20.571493,r,c4d_150315_074034_ooi_r_ls9
190.66784500553462,-26.71564068179861,57096.31956888316,20.36136,i,c4d_150315_074203_ooi_i_v1
190.67093090021967,-26.729290760850898,57096.31956888316,21.159876,i,c4d_150315_074203_ooi_i_v1
190.65934500998583,-26.709827717981614,57096.31956888316,20.419916,i,c4d_150315_074203_ooi_i_v1
190.65524864591305,-26.727023930647338,57096.31956888316,21.080603,i,c4d_150315_074203_ooi_i_v1
190.6532548907731,-26.733543823185574,57096.31956888316,21.075117,i,c4d_150315_074203_ooi_i_v1
190.6524037551,-26.728196317011694,57096.31956888316,21.159185,i,c4d_150315_074203_ooi_i_v1
190.65121529170307,-26.733530031949044,57096.31956888316,21.196455,i,c4d_150315_074203_ooi_i_v1
190.652457570916,-26.732694782577376,57096.31956888316,20.557287,i,c4d_150315_074203_ooi_i_v1
190.67259778870502,-26.721437464313382,57096.31956888316,20.290781,i,c4d_150315_074203_ooi_i_v1
190.670935102829,-26.729286076507357,57096.32059480809,20.516657,z,c4d_150315_074332_ooi_z_ls9
190.67823929333514,-26.72878724534153,57096.32059480809,20.626623,z,c4d_150315_074332_ooi_z_ls9
190.67346334695688,-26.718400757833855,57096.32059480809,20.946787,z,c4d_150315_074332_ooi_z_ls9
190.66867528630468,-26.72684736042503,57096.32059480809,20.931223,z,c4d_150315_074332_ooi_z_ls9
190.6611783176723,-26.733499993720685,57096.32059480809,20.583189,z,c4d_150315_074332_ooi_z_ls9
190.65935524013477,-26.70982814013716,57096.32059480809,20.351274,z,c4d_150315_074332_ooi_z_ls9
