ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,parallax_over_error,ruwe,astrometric_excess_noise,astrometric_gof_al,phot_g_mean_mag,bp_rp,source_id,random_index
272.2788257769589,45.486515755070336,0.6727911238187801,-9.386484244509797,0.027063,0.031938,0.4970372730061794,0.023397,21.243261,1.01279,0.020365,0.365106,15.616084,0.784983,2116154511572606208,2039086
267.38959118225654,45.68496430543431,-6.721469822439629,-4.188072808366536,0.019215,0.01982,1.2636538745672852,0.015202,83.122215,1.252481,0.099375,6.396579,14.009565,0.790153,1350597413061815424,2052388
270.2135154176476,47.61873917947461,-4.602468502461484,7.567857880585224,0.018687,0.017905,0.5847205250809657,0.015273,38.284412,1.005853,0,0.173713,14.379469,0.82247,2116652074943833344,2117675
268.60111667835235,44.371295145421165,-10.613965137864243,-32.992201046277884,0.395463,0.472074,2.409144567629562,0.321949,7.482998,1.006274,0.685313,0.181996,19.89183,2.668093,1349536620563220864,2134418
272.5452381366139,44.97598743999126,-1.532357061528975,-9.432723607659101,0.058087,0.057714,0.3833127658242296,0.048124,7.965118,1.053758,0.158247,1.552851,17.072216,0.833635,2115762157720320512,2167378
270.74952886773406,47.95786945059421,-8.010800092466326,-13.584600162900676,0.278093,0.303504,1.1658900418392162,0.223922,5.206671,1.033449,0.711612,0.931794,19.501522,2.301546,2122676329216429056,2173243
269.863568635015,46.49290190591425,-0.9683713062364596,-3.072510939943246,0.090613,0.102898,0.5059611192325733,0.082009,6.169551,1.006678,0,0.191732,17.736124,0.983158,1349953374126016640,2338065
270.01361961703344,45.038605869928105,-2.5348962684251983,2.215890822507033,0.06571,0.068932,0.4076245048912513,0.05518,7.387146,1.005648,0.081441,0.170553,17.142376,0.947807,2115941756072726400,2415013
272.63764652649303,43.89121430623491,-5.283102012169784,-0.7685666326054623,0.06304,0.061504,0.4860230516870963,0.054047,8.992649,1.003664,0,0.118159,17.092283,1.002769,2115582559367685248,2424278
268.85161281102086,43.20067411413336,11.757530936328317,9.204300123795228,0.141633,0.149261,2.5322590384284775,0.125408,20.192188,1.035138,0.307371,0.950775,18.537096,2.479767,1346227502880830976,2446383
270.5088726233071,43.32852631400189,3.2997978912656274,-6.487288451640299,0.066264,0.073578,0.679145246285441,0.0609,11.151801,0.991895,0,-0.188836,17.416471,1.303612,2114242185974129536,2503756
270.05401001786674,43.24025887420235,-0.0402919963644068,-4.106562125511853,0.035509,0.037157,0.333845584596322,0.031149,10.717616,0.972358,0,-0.633878,15.839349,0.752132,2113874399335091328,2616259
267.51750910525107,44.7871986327767,3.6028077045982396,-8.633323299541214,0.080324,0.083723,0.7280957455249858,0.069449,10.483906,1.009506,0,0.283947,17.674435,1.616474,1349703956785110528,2622908
269.53594202784774,45.48240391287861,-5.810814918081238,12.304338965467373,0.119297,0.130711,1.0481773847078184,0.097986,10.697195,0.958774,0,-1.115675,18.275534,1.928312,1349662411564898816,2637435
269.6835437080592,42.30209065033895,-13.295793249821488,-22.693209430871946,0.01347,0.015138,3.3347739686805222,0.013139,253.8104,1.051327,0.093073,1.317911,12.904273,1.006849,1345161324495687936,2641576
271.39597983027295,44.6503780257576,4.614211960510084,-4.2171511955073955,0.174697,0.18551,0.8385985507141234,0.13557,6.185746,0.977172,0,-0.617836,18.79622,2.258911,2115883683818828928,2645281
270.1076215895962,44.742603320067175,4.18866771834769,-8.408205735456345,0.040194,0.041942,1.0514092270323414,0.031217,33.68104,0.973313,0,-0.660578,16.056053,1.175223,2114435974898500736,2652630
270.77067837173524,44.51780819045475,-13.91376822783304,-6.761736615819918,0.081759,0.098681,1.4229516496245525,0.078409,18.14792,1.004988,0,0.153534,17.744678,2.184578,2114368969112656384,2665846
268.05483341017595,45.63051234021504,-0.6688591474012572,-17.12436354711835,0.16065,0.188875,2.623777181977983,0.140651,18.654514,1.035858,0.198885,0.995476,18.835625,2.66785,1350556177079397632,2676787
269.51295685711415,43.9847529750907,-2.3420533391091447,-14.783825762093322,0.023543,0.02849,0.9563350709183451,0.021768,43.932777,1.387599,0.183228,10.248369,14.771711,0.92059,1346473419823586816,2699523
272.14616142403304,42.80934317371569,-0.527236433534929,0.6278501862203275,0.027729,0.030495,1.0797143278283194,0.024361,44.32219,0.988514,0,-0.284878,15.619559,1.182766,2113985548791483904,2740225
272.06539084337885,42.71305939064038,0.1290081200082091,-7.263260895893106,0.034969,0.037161,0.6647743605021524,0.029218,22.751945,1.014922,0.049947,0.43758,16.028364,0.90291,2113983525863813376,2744978
