id,ra,dec,pmra,pmdec,pmraerr,pmdecerr,gmag,rmag,imag,ndet,mjd,deltamjd,class_star,flags,random_id
32381_7106,267.7177991396001,42.23260514862893,-98.50169,19.696962,94.48722,94.9026,18.667185,18.0971,99.99,7,57577.661139101125,361.03152,0.544599,2,9.976597
26106_1095,270.46694088535327,47.32384244398658,50.276817,282.4947,23.20489,24.751387,21.734375,20.741617,99.99,9,57737.420474991515,388.04712,0.757053,2,9.978354
31874_1723,267.66636717782245,42.51604023221417,-80.20546,29.358414,98.63848,98.76265,21.866762,21.378056,99.99,9,57647.82539267419,427.76648,0.87066,0,9.979645
29889_6631,269.5918452850601,44.32558061303363,66.95082,-94.43033,708.2651,708.3249,20.296875,20.028269,99.99,4,57716.65386300115,369.0841,0.000443,0,9.979848
30879_4517,272.56653542956724,43.591388748286406,-54.130215,-6.21045,148.69379,148.73201,22.15625,21.573818,99.99,6,57711.2487590746,744.98944,0.137491,0,9.980026
30382_539,270.9927628237414,43.881741436961356,-47.809452,-104.57195,190.75539,190.79768,21.671875,21.220015,99.99,7,57789.141550718145,745.9824,0.115805,0,9.980557
28918_2730,268.8356946792405,44.858327177405,101.89515,-19.55321,76.121704,76.44221,18.796875,18.593538,99.99,6,57649.58136066414,396.98138,0.02713,3,9.983229
28916_2186,267.33817635937584,45.11619993732118,22.054634,-61.02667,197.23306,197.36761,21.859375,21.331299,99.99,7,57630.99215897545,377.0193,0.189927,3,9.983979
31377_4003,271.5570078499055,43.17197135471001,-1.239341,229.40244,139.15828,139.21255,17.515625,20.1875,99.99,5,57823.6311056233,736.9187,0.001131,3,9.98433
25199_735,269.444814240353,47.99165734467253,20.66367,84.5253,22.643784,23.632566,21.65817,20.382658,99.99,7,57892.68886378361,723.9712,0.846244,2,9.985511
25654_2866,272.61365280624864,47.89211789045771,-1549.0157,3153.9958,2530.2354,2532.2178,21.875,21.64155,99.99,5,57545.80112975743,50.906498,0.076944,3,9.985609
30384_7822,272.81646168822374,43.69920245049626,-4.934891,-55.3262,12.904762,14.051095,19.990242,18.625244,99.99,8,57724.87991945504,739.0011,0.624146,3,9.990338
25651_4522,270.39076186801367,47.730590417660736,91.48327,53.02208,122.28541,122.422806,21.202528,20.73812,99.99,8,57718.26916049677,398.81424,0.089417,0,9.990834
28442_6040,271.0141424518834,45.62737604350456,-47.271034,80.54253,46.779686,46.94636,21.54319,20.75,99.99,8,57767.258941850974,737.99725,0.836121,3,9.990894
27491_3966,267.3744608756848,46.2288869617682,3.840362,68.942535,45.693844,46.29863,20.228287,19.052652,99.99,8,57755.417539728514,735.9421,0.023829,3,9.992333
25652_62,271.33486079924063,47.509083601657785,247.4018,174.07251,188.05994,188.09229,20.81086,20.74025,99.99,12,57726.378427591175,732.0283,0.030449,0,9.993412
26109_3092,272.83788762464917,47.45182725949672,-9.023349,185.18349,36.269886,36.70572,21.506979,20.134882,99.99,7,57699.125050845425,732.02405,0.945731,3,9.99429
29891_2647,271.12822451144575,44.06319014716288,-86.48233,3.485873,70.726654,70.904144,21.859375,20.32686,99.99,6,57653.586079840396,397.01126,0.025139,0,9.994339
27497_2887,271.9699287037603,46.04214934296615,-59.107002,4.908821,104.10588,104.14919,19.829546,19.632347,99.99,11,57739.773724760606,737.996,0.012311,0,9.99537
27028_3284,270.1001062853374,46.654823836591525,-73.224075,-42.10329,10.274412,10.673514,18.327324,18.023643,99.99,9,57815.39049982181,738.00916,0.984158,2,9.995551
31376_5221,270.9190470919232,43.17121147339233,-56.02863,-59.646606,168.23051,168.23792,21.61152,21.107067,99.99,9,57653.511395152345,414.811,0.124489,3,9.99589
30377_4232,267.6686658710682,43.920625454004366,164.48787,131.60934,86.22186,86.29762,21.96871,20.832497,99.99,9,57606.518234324074,378.03772,0.042825,2,9.997472
32386_3402,270.97039105147593,42.19994307405033,-60.759674,-2.942007,53.725624,53.99207,20.989176,20.687843,99.99,9,57735.83464066152,743.90045,0.85064,3,9.997975
32382_1240,267.95473409249746,42.09831028146179,-39.448288,36.831406,38.95895,39.292435,21.278896,20.239126,99.99,9,57648.04721968807,427.76724,0.914551,3,10.000695
27493_5858,268.9112306463308,46.36805279701002,-7.525488,54.664112,26.30386,26.568546,20.861872,19.905869,99.99,9,57736.287234408985,729.96533,0.926432,3,10.001016
28440_2745,269.4024929310314,45.389295664809346,-31.318777,79.13426,85.49609,85.474335,19.765625,19.09375,99.99,5,57741.83579649823,396.0095,0.024783,0,10.001335
31373_6682,268.6538638123708,42.78060838832572,2.234221,5.013838,221.9221,221.94061,21.363926,21.307655,99.99,5,57759.396743239,715.88995,0.114394,0,10.001773
27965_2036,269.3176273392864,45.734194977331505,-14.160241,10.602825,123.5065,123.48368,21.864899,21.038958,99.99,8,57800.91172949562,735.96124,0.128171,0,10.003144
25651_3987,270.4983754258003,47.793506925640415,-9.482993,-51.291035,117.32685,117.6168,18.660933,21.375,99.99,6,57720.21778808115,398.81424,0.506673,3,10.00407
